RPS_Number,StructureName,Description,StreetNumber,StreetAddress,Townland,NIAH_Ref,RMP_REF,Lat,Long
390,St. Sylversters Well,Holy Well - enclosed circular stone structure with conical roof,,Old Street,Malahide,11344011,DU012-02301,53.4512401589172,-6.15486752083697
389,St. Sylvester's Catholic Church,19th century Catholic Church & Parish Hall,,Dublin Road,Malahide,11344010,DU012-02301 to -02303,53.4509146374068,-6.15497430873997
450,Mound,Earthwork,,Streamstown Lane,Auburn,,DU012-028,53.4380660759359,-6.18277047652086
442,Earthwork'Site of',Earthwork in grounds of Malahide Castle,,,Malahide Demesne,,DU012-029,53.4458276142208,-6.16836368345467
383,Malahide Castle,"Castle, gatelodges (x4), stone outbuildings, entrance gates & piers",,Dublin Road,Malahide Demesne,11344019,DU012-030,53.4449296317744,-6.16457164748415
384,Malahide Abbey (in ruins),"Church in ruins, Graveyard and Sheela-na-gig within grounds of Malahide Castle",,off Dublin Road,Malahide Demesne,11344020,DU012-03101 to 03106,53.4449621576689,-6.16359453954021
474,Ringfort Site,Earthwork,,The Hill,Broomfield/Grange (Malahide),,DU012-033,53.4349351797508,-6.15623472489339
445,Motte & Bailey,"Anglo-Norman earthwork of former castle and settlement site, in field north of Wheatfield House",,Blackwood Lane,Sainthelens (Malahide),,DU012-034,53.4375858404533,-6.14612665761133
421,Hicks Tower,Former Martello Tower adapted for residental use,,Coast Road,Robswalls (Malahide),11344040,DU012-035,53.4476977602556,-6.13566337115818
422,Robswalls Castle,Five-bay two-storey house connected to 15th century stone tower house,,Coast Road,Robswall (Malahide),11345001,DU012-036,53.4445350150397,-6.12802626469982
443,Settlement,Earthwork,,Elner Court,Robswalls (Portmarnock),,DU012-037,53.4384316674063,-6.13011992569708
444,St. Patrick's Well,Holy Well,,off Coast Road,Robswall (Malahide),,DU012-038,53.4410537025286,-6.12844836012505
476,Martello Tower,Former Martello Tower adapted for residental use,,Strand Road,Carrickhill (Portmarnock),11345002,DU012-040,53.4359240696197,-6.12230662656487
481,Bridge near Newport House,Disused double-arched random rubble stone bridge at end of Ballymadrough Road,,Ballymadrough Road,Ballymadrough,11336007,DU012-042,53.4667455749539,-6.18753363101604
494,Newbridge House,"Main house plus outbuildings, walled gardens, gates & gate piers",,Lissenhall to Donabate Road,Newbridge Demesne (Donabate),11329001,DU012-060,53.4867915787068,-6.16809410363744
669,Enclosure Site,Earthwork,,,Kilmartin,,DU013-001,53.4340146041977,-6.41719240348918
668,Kilmartin Church (in ruins),"Ecclesiastical remains, church, ecclesiastical enclosure",,Kilmartin Lane,Kilmartin,,DU013-002 to -00202,53.4337517904675,-6.40327338633171
667,"Earthwork ""site of""",Earthwork,,,Kilmartin,,DU013-003,53.4332669983039,-6.39144948671508
666,Mound,Earthwork,,"Hollystown Golfcourse, Rathoath Rd",Hollystown,,DU013-004,53.432402170394,-6.38283965596337
673,Tyrrelstown House,Five-bay two-storey house & Out-offices,,Powerstown Road,Tyrrelstown,11346002,DU013-006,53.4164049633105,-6.39464113027113
676,Field System Site,Earthwork,,,Goddamendy,,DU013-007,53.4165645123273,-6.36740909456049
674,Cloghran Church (in ruins) & Graveyard,Church in ruins within graveyard,,Rathoath Road,Cloughran (Castleknock),,"DU013-008, DU014-046",53.414456618099,-6.35869462766392
671,Lady's Well,Enclosed Holy Well in vaulted structure,,Church Road,Tyrrelstown,11353010,DU013-009,53.4084384502545,-6.3918576189053
670,Mulhuddart Church (in ruins) & Graveyard,Church in ruins & graveyard still in use,,Church Road,Buzzardstown,11346003,DU013-01001 + -01002,53.4104736721264,-6.3893933516578
679,Mound,Comprises a circular round-topped mound (2m high). Notated 'Moat' on OS Map,,off Warrenstown Green,Corduff,,DU013-012,53.4026787986196,-6.38205044145139
678,Mound,Circular earthern mound incorporated into carpark to form traffic island,,"Blanchardstown Industrial Park, Snugborough Rd",Corduff,,DU013-014,53.403004211707,-6.36943398188085
680,Ringfort possible,"Remains of platform ringfort (3m high) in grounds of Corduff House, to south west of house",,Old Corduff Road,Corduff,,DU013-015,53.3981982092852,-6.38056456254259
705,St. Mary's Church,Church of Ireland Church and archaeological site of earlier church,,Clonsilla Road,Clonsilla,11353005,DU013-01701,53.3842663971208,-6.42260740758434
708,Ring Barrows possible,3 conjoined enclosures beside railway line at Green Mount house.,,Clonsilla Road,Kellystown,,DU013-018,53.3823004903553,-6.42190470299906
701,Coolmine Church (in ruins),"Ecclesiastical remains, church site & graveyard",,Blanchardstown Road,Coolmine,,DU013-019,53.3901033318866,-6.3994033737275
684,Church (in ruins) & Graveyard,Remains of small church & burial ground,,Snugsborough Road,Abbotstown,11354005,"DU013-020, DU014-031",53.3883659677858,-6.35883765973089
717,Westmanstown Park House,Three-bay two-storey over basement house,,Barnhill to Lucan Road,Westmanstown,11360001,DU013-034,53.3809103348831,-6.45686813478765
662,Kilshane Moat,Possible Motte site.,,N2 (Ashbourne) Road,Kilshane,,DU014-001,53.4329339596772,-6.33839162792553
626,St. Margaret's Church (in ruins),"Ecclesiastical remains, church, architectural fragments, graveyard & church site",,St. Margaret's Village,St. Margaret's,11348001,DU014-002,53.4335978592145,-6.29957671819135
624,St. Bridget's Well,Holy Well located west of Catholic Church,,St. Margaret's Village,St. Margaret's,,DU014-003,53.4311458788968,-6.30270027188671
623,Dunsoghly Castle,15th century Tower House with its original timber roof,,off N2 Road,Dunsoghly,,DU014-00501,53.4257060717743,-6.31968307431691
619,Ringfort (Rath/Cashel) Enclosure(s) site,Earthwork,,,Newtown (Finglas),,DU014-00601 + -00602,53.4202290278608,-6.31570353903135
620,Ringfort possible site,Earthwork,,,Newtown (Finglas),,DU014-007,53.4218745759801,-6.31269311138033
609,Cloghran Church (in ruins) & Graveyard,Site of 18th century church now demolished on site of earlier church. Enclosed graveyard,,Stockhole Lane,Cloghran (Swords),,DU014-00901,53.4328877751595,-6.22785289824042
607,Lady Well,"Site of Holy Well, in field to south of Lane.",,Stockhole Lane,Cloghran (Coolock),,DU014-010,53.4306892514249,-6.22433636914554
663,Kilshane Church (in ruins) & Holy Well,"Ecclesiastical remains, church possible, graveyard, holy well",,off N2 (Ashbourne) Road,Kilshane,,DU014-012,53.4185477960066,-6.33035995201829
675,Enclosure(s) Site,Enclosures & souterrain possible.,,Rathoath Road,Cloghran,,DU014-014,53.4140280845481,-6.35532395551711
622,Enclosure,Earthwork,,off Ashbourne Road,Coldwinter,,DU014-015,53.4119803360612,-6.31736306536029
621,Enclosure,Earthwork,,R122 Road,Dubber,,DU014-017,53.4131696166502,-6.3061180475338
616,Dubber Castle,Site of Castle,,Dubber Lane,Dubber,,DU014-018,53.4142088376332,-6.30056682161765
617,Dubber House,House on archaeological site,,Dubber Lane,Dubber,,DU014-019,53.4138947096133,-6.30071702583134
615,Meakstown Castle,Site of Castle opposite Meakstown House,,St. Margaret's Road,Meakstown,,DU014-020,53.4063253505692,-6.29235697139363
618,Field System possible site,Earthwork,,off St. Margaret's Road,Silloge,,DU014-021,53.4146557434439,-6.28199457549349
614,Ringfort site,Earthwork,,St. Margaret's Road,Balcurris,,DU014-022,53.4061120299544,-6.27812155618386
602,Holy Well,Holy well site,,off Swords Road,Toberbunny,,DU014-023,53.4195956370572,-6.23015721620715
681,Castle 'Site of',Archaeological site,,Ballycoolin Road,Cappoge,,DU014-027,53.3976253771509,-6.33786305379903
682,Ringfort,"""Tumulus"" - circular mound in field opposite Cappagh Orthopaedic Hospital",,Cappagh Road,Cappoge,,DU014-029,53.396732448173,-6.32482634680982
685,Mound,Impressive mound in a field.,,Dunsink Lane,Dunsink,,DU014-032,53.3883553880071,-6.35177431731633
689,Cemetery,Archaeological site,,River Road,Castleknock,,DU014-034,53.3831825370403,-6.35606074927531
605,Mound,Earthwork,,off Clonshaugh Road,Cloghran (Swords),,DU015-001,53.4288121140094,-6.21044679059585
455,Church (in ruins) & Graveyard,Remains of church,,Chapel Road,Kinsaley,11350033,DU015-00201 +-00202,53.4245488263875,-6.16857157702974
473,Ringfort Site,Earthwork,,Drumnigh Road,Grange Malahide,,DU015-004,53.4325567079513,-6.15617848766396
472,Ringfort Site,Earthwork,,Drumnigh Road,Grange Malahide,,DU015-005,53.4302872003066,-6.15548055665387
477,Ring-ditch possible site,Earthwork,,Strand Road,Burrow Malahide (Portmarnock),,DU015-006,53.4305031783491,-6.12632279249355
478,Church (in ruins),"Ecclesiastical Remains, Church, Holy Well, site of Ogham Stone",,Strand Road,Burrow Malahide (Portmarnock),11351005,DU015-007 to -00705,53.427024028705,-6.12796051567055
601,Ringfort,Earthwork,,off Clonshaugh Road,Middletown,,DU015-008,53.4209037910532,-6.20277377145382
459,St. Doolaghs Church & Well & St. Catherine's Well,"Ecclesiastical Remains, Church, Graveyard, Cross and Holy Well (x2)",,Malahide Road,Saint Doolaghs,11350016 & 11350017,DU015-00901 to 00906,53.4152141813143,-6.17913100716121
465,Ringfort possible,Earthwork,,off Malahide Road,Kinsaley,,DU015-010,53.416925849233,-6.17253574618951
467,Ring-ditch possible site,Earthwork site,,,Saintdoolaghs,,DU015-011,53.414301832842,-6.17352382197933
469,Balgriffin Park Church,"Ecclesiastical Remains, Church Site, Grave slab fragment",,off Balgriffin Road,Balgriffin Park,,DU015-01201,53.4086192803518,-6.17076838702548
475,Mound,Earthwork,,Station Road,Portmarnock,,DU015-014,53.4178188333284,-6.14599626872899
589,Martello Tower,19th century circular military stone martello tower,,,Ireland's Eye,11359042,DU015-016,53.4082940722249,-6.06976454050934
552,Mound,Mound forms part of landscaped garden of residence (3m high),,Claremount Road,Quarry (Sutton),,DU015-020,53.3923641067005,-6.09425786875755
549,Kilbarrack Church & Graveyard,Church is in ruins but walled graveyard has been extended and is still in use,,Dublin Road,Kilbarrack Lower,,DU015-02101 +-02102,53.3874232268742,-6.13307437703031
590,Cemetery,Archaeological site,,"Sutton RFC, Station Road",Burrow Howth,,DU015-022,53.3904804665845,-6.11591384571512
591,Site of Burial Mound,Earthwork,,Dublin Road,Sutton,,DU015-023,53.3894184851178,-6.11264504549986
551,Corr Castle,Remains of 16th century castle of St. Lawrence family in open space at centre of apartment development,,Howth Road,Howth Demesne,,DU015-025,53.3899059705303,-6.09409804083682
557,Church (ruin),Chapel ruins  in grounds of and close to Howth Castle.,,Grounds of Howth Castle,Howth Demesne,,DU015-026,53.386898647964,-6.07981169491995
556,Howth Castle,"Castle, Wings, Tower, Stables, Gates, and Chapel Grounds",,,Howth Demesne,11358029,DU015-02701,53.3861134413286,-6.07938537994962
566,Burial Mound site,Earthwork,,Harbour Road,Howth,,DU015-02801 + -02802,53.3884555430979,-6.07187568471321
568,St. Mary's Abbey (in ruins),"Church in ruins, incl belfry and graveyard",,Abbey Street,Howth,11359010,DU015-029,53.3876135004347,-6.06609197410166
569,Howth College,Stone walls of pre-1700 building,,Abbey Street,Howth,,DU015-030,53.3871644298061,-6.06572291451318
575,St. Fintan's Church (in ruins) & Graveyard,Remains of church & graveyard,,Carrickbrack Road,Sutton South,11358033,DU015-03102,53.3776828410529,-6.09082263736843
582,Portal Tomb,"Known as 'Aideen's Grave', in grounds of Deer Park Golf Course, Howth Castle",,"Deerpark Golfcourse, Howth Castle",Howth Demesne,,DU015-032,53.3796805867988,-6.08170227410707
463,Belcamp Hall,"""Belcamp College"" school complex (incl House, Chapel, Washington Monument, bridge, ballcourt, & ice-house)",,"Belcamp College, N32 Road",Belcamp,11350024,DU015-033,53.4074466253824,-6.18741093293274
792,Springhill,Early 19th century house and stone outbuildings,,"Limekiln Lane, off Malahide Road",Springhill (St. Doolaghs),11350013,DU015-056,53.4158575332638,-6.19049417408932
588,St. Nessan's Church,Remains of medieval church,,,Irelands Eye,,DU016-00101,53.4058113511323,-6.06474426501487
570,Martello Tower,"19th century circular military stone martello tower overlooking Howth Harbour, accessed from Abbey Street.",,off Abbey Street,Howth,11359033,DU016-00202,53.3876643043157,-6.06362308267395
585,The Great & Little Baily Promontory Fort,"Promontory Fort, Cashel & Midden - major archaeological complex",,off Thormanby Road,Howth,,DU016-003,53.3657885597481,-6.05576927352671
586,Old Baily Lighthouse Keeper's Cottages,Pair of semi-detached three-bay single-storey lighthouse keepers houses with dormer attics,,The Bailey,Howth,11367006,DU016-003,53.362878007122,-6.05356464413765
587,The Baily Lighthouse,"Coastguard station comprising of Lighthouse, Out offices and Tank.",,off Thormanby Road,Howth,11367007 & 11367008,DU016-00304,53.3615682506321,-6.05242003113227
714,St. Catherine's Wells,Holy Well - Two small adjoining low grotto stone lined holy wells,,The Avenue,St. Catherine's Park (Leixlip),11360003,DU017-00201 to -00202,53.3669655787407,-6.47280332076205
716,Church (in ruins),Ruined rubble stone church,,The Avenue,St. Catherine's Park (Leixlip),,DU017-003,53.3651919128655,-6.47198404639688
723,Luttrelstown Castle,"Main building plus outbuildings, gatelodges, follies, gates & gate piers",,Luttrellstown Road,Woodlands,11361036,DU017-004,53.3734882016062,-6.43101678086213
730,Ring ditch,Earthwork beside St. Mochta's Church,,Luttrellstown Road,Porterstown,,DU017-005,53.3711916921394,-6.40504133839839
733,Mound,"Possible ringfort, in SE corner of level arable field (1.75m high)",,"off Lower Road, Strawberry Beds",Astagob,,DU017-007,53.3656778506045,-6.40411558621501
765,St. Brigid's Church of Ireland Church,19th century church & graveyard,,Castleknock Road,Castleknock,11362003,DU017-00801,53.3732153484088,-6.36406568581934
764,St. Brigid's Well,Holy Well - marked by cast iron pump,,College Road,Castleknock,,DU017-009,53.3728348750612,-6.36266279273509
732,Habitation Site,Earthwork,,,Diswellstown,,DU017-010,53.36656248591,-6.38209870715239
738,Rag Well,Holl Well slabbed over at road junction. The rear wall is inscribed with the words 'Ragwell',,Luttrellstown Road,Diswellstown,,DU017-011,53.3671391397172,-6.37848147313586
748,Castleknock Castle (in ruins),"Motte and Bailey, Castle, Well (2), graveyard",,"Castleknock College, College Road",Castleknock,11362021 & 11362017,DU017-01201 to - 01204,53.3679749015167,-6.37002241198426
751,Windmill (in ruins),Remains of circular stone tower on mound,,"Castleknock College, College Road",Castleknock,,DU017-01302,53.3681514652389,-6.36595071712133
720,Coldblow Bridge (remains),"Bridge & piers of old bridge, in grounds of ""Bleach Green"" house",,off Barnhill Cross Roads,Coldblow (Lucan),,DU017-016,53.3586641750113,-6.4522560948385
721,Sunday Well,Holy Well,,Barnshill Cross Road,Laraghcon,,DU017-017,53.3600613641058,-6.4496907384547
722,"Castle ""Site of """,Archaeological site,,Lucan Road,Laraghcon (Lucan),,DU017-018,53.3608778011788,-6.44513243521778
726,Anna Liffey Mill,Former Flour Mill (incl turbines),,Lower Road,Woodlands,11361034,DU017-076,53.3684729934013,-6.4329303662814
576,St. Fintan's Well,Holy Well.,,"""Iniscara"", Carrickbrack Road",Sutton South,,DU019-002,53.375007081336,-6.09009851388116
581,Passage Grave Cairn,"Cairn. Located within Howth Castle Demesne, south of Deerpark Hotel.",,Shielmartin,Sutton South,,DU019-003,53.3734874698639,-6.08353163157076
583,Tumulus at Dunhill,Cairn & Disc-Barrow - stone burial mounds,,Howth Head,Howth Demesne,,DU019-00401,53.3756278851319,-6.07690733998771
579,Martello Tower,Former Martello Tower adapted to residence,,off Shielmartin Road,Sutton South,11366017,DU019-005,53.3693467323528,-6.0960316356197
584,Cairn at Blackheath,"Stone burial mound on Howth Head, in grounds of Howth Castle",,"Howth Head, off Windgate Road",Howth Demesne,,DU019-006,53.3698478025099,-6.07155196857733
580,Drumleck Castle,Site of Castle in grounds of Drumleck House,,Ceanchor Road,Censure (Howth),,DU019-007,53.3613494989824,-6.07829551298703
