No,Location,Code,No Spaces,Exact Location,Installed,Tarriff,Nearest PandDs Same zone,Hours of Operation,Clr-Way,Clearway Hrs,Comment,Further Information,Finished,Comment 1,Zone,Located,geometry,geometry 1,geometry 2,Longitude,Latitude
455,Ballyfermot Road,10,83 P n D (Total),At Kiely's Pharmacy (Number 280),,€ 0.60,Ballyfermot Rd 756,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Blue,Y,"<Point><coordinates>-6.351279,53.342211</coordinates></Point>","-6.351279,53.342211</coordinates></Point>","-6.351279,53.342211",-6.351279,53.342211
461,Sandwith Street,2,43 P n D / DP,At Apartments,01/02/2000,€ 2.90,Townsend St 284,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.246828,53.344488</coordinates></Point>","-6.246828,53.344488</coordinates></Point>","-6.246828,53.344488",-6.246828,53.344488
464,Pembroke Park,4,76 P n D / DP,Number 27,01/02/2000,€ 2.40,Herbert Park 293,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.240016,53.326632</coordinates></Point>","-6.240016,53.326632</coordinates></Point>","-6.240016,53.326632",-6.240016,53.326632
465,St Kevin's Parade,8,110 P n D,No 27,01/02/2000,€ 2.40,Ovoca Rd 588,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.272861,53.334108</coordinates></Point>","-6.272861,53.334108</coordinates></Point>","-6.272861,53.334108",-6.272861,53.334108
467,Annamoe Road,7,4 P n D + 8 DP,Hanlon's Pub,01/02/2000,€ 1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,North side east of old cabra road,TRUE,,Green,Y,"<Point><coordinates>-6.288442,53.357421</coordinates></Point>","-6.288442,53.357421</coordinates></Point>","-6.288442,53.357421",-6.288442,53.357421
480,Francis Street,8,43 P n D + 26 DP (Total),Near Tivoli,27/03/2000,€ 2.90,6 On Francis St,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.275866,53.342713</coordinates></Point>","-6.275866,53.342713</coordinates></Point>","-6.275866,53.342713",-6.275866,53.342713
482,Killester DART Station,5,,At DART Station,03/12/2001,€ 1.00,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.204202,53.373021</coordinates></Point>","-6.204202,53.373021</coordinates></Point>","-6.204202,53.373021",-6.204202,53.373021
489,Hatch Street Upper,2,58 P n D (Total),Styne House,29/03/2000,€ 2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.261741,53.334092</coordinates></Point>","-6.261741,53.334092</coordinates></Point>","-6.261741,53.334092",-6.261741,53.334092
496,St. John's Road West,8,,Opposite Heuston Station,13/04/2002,€ 1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.293324,53.345898</coordinates></Point>","-6.293324,53.345898</coordinates></Point>","-6.293324,53.345898",-6.293324,53.345898
499,Terenure Road North,6,7 P n D (Total),At Charity Shop,,€ 1.00,Brighton Sq 146,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.280736,53.316698</coordinates></Point>","-6.280736,53.316698</coordinates></Point>","-6.280736,53.316698",-6.280736,53.316698
506,Pembroke Road,4,103 P n D / DP (Total),Wellington Road,29/04/2000,€ 2.90,4 On Pembroke Rd,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.24017,53.332487</coordinates></Point>","-6.24017,53.332487</coordinates></Point>","-6.24017,53.332487",-6.24017,53.332487
521,Kirwan Street,7,23 P n D / DP,No 12-13,09/05/2000,€ 1.60,3 on Manor St,Mon-Fri 08.00-18.30,FALSE,,,4 on Manor Street,TRUE,,Green,Y,"<Point><coordinates>-6.282843,53.352741</coordinates></Point>","-6.282843,53.352741</coordinates></Point>","-6.282843,53.352741",-6.282843,53.352741
533,Hollybrook Road,3,52 P n D,No 51 Corner of Clontarf Rd,11/05/2000,€ 1.00,Clontarf Road 832,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.218677,53.363147</coordinates></Point>","-6.218677,53.363147</coordinates></Point>","-6.218677,53.363147",-6.218677,53.363147
535,Eglinton Road,4,80 P n D / DP (Total),At Number 77,15/04/2002,€ 2.40,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.24034,53.318536</coordinates></Point>","-6.24034,53.318536</coordinates></Point>","-6.24034,53.318536",-6.24034,53.318536
536,Morning Star Avenue,7,,Opposite Whitworth Hall,15/05/2000,€ 2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.275778,53.35163</coordinates></Point>","-6.275778,53.35163</coordinates></Point>","-6.275778,53.35163",-6.275778,53.35163
538,Simmonscourt Road,4,72 P n D / DP (Total),Near Entrance To RDS Showgrounds,18/05/2000,€ 2.40,3 On Simmonscourt Rd,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.22689,53.325636</coordinates></Point>","-6.22689,53.325636</coordinates></Point>","-6.22689,53.325636",-6.22689,53.325636
539,Simmonscourt Road,4,72 P n D / DP (Total),Entrance to RDS showgrounds,18/05/2000,€ 2.40,3 On Simmonscourt Rd,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.228876,53.324802</coordinates></Point>","-6.228876,53.324802</coordinates></Point>","-6.228876,53.324802",-6.228876,53.324802
545,Cabra Road,7,18 P n D,Xtra-Vision,06/06/2000,€ 1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.284548,53.361172</coordinates></Point>","-6.284548,53.361172</coordinates></Point>","-6.284548,53.361172",-6.284548,53.361172
547,Glengarriff Parade,7,82 P n D / DP,Opp no 9 Corner of NCRd,07/06/2000,€ 1.60,Innisfallen Parade 423,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.266034,53.36043</coordinates></Point>","-6.266034,53.36043</coordinates></Point>","-6.266034,53.36043",-6.266034,53.36043
549,Rosemount Road,7,32 P n D / DP,At NCR Junction / At Side Of Number 284,21/06/2000,€ 2.40,Nth Circular Rd 59,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.278915,53.359493</coordinates></Point>","-6.278915,53.359493</coordinates></Point>","-6.278915,53.359493",-6.278915,53.359493
551,St. Patrick's Close,8,6 P n D / DP,Corner Of Kevin Street,06/07/2000,€ 2.90,Bull Alley St 323,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.270558,53.338489</coordinates></Point>","-6.270558,53.338489</coordinates></Point>","-6.270558,53.338489",-6.270558,53.338489
560,Blackberry Lane,6,11 P n D / DP,Corner of Rathmines Road Lower,25/07/2000,€ 1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.264734,53.328557</coordinates></Point>","-6.264734,53.328557</coordinates></Point>","-6.264734,53.328557",-6.264734,53.328557
563,Blessington Street,7,49 P n D / DP (Total),Number 68,16/08/2000,€ 2.40,Blessington St 250,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.266972,53.35644</coordinates></Point>","-6.266972,53.35644</coordinates></Point>","-6.266972,53.35644",-6.266972,53.35644
567,Mount Argus (Harold's Cross),6,4 P n D,At Church Main Gate,,€ 1.60,Harold's Cross Road 728,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.27995,53.324112</coordinates></Point>","-6.27995,53.324112</coordinates></Point>","-6.27995,53.324112",-6.27995,53.324112
568,St. Anne's Road South,8,24 P n D / DP,Junction of South Circular Road,05/09/2000,€ 1.00,Dolphin Avenue 835,Mon-Sat 08.00-18.30,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.285954,53.331962</coordinates></Point>","-6.285954,53.331962</coordinates></Point>","-6.285954,53.331962",-6.285954,53.331962
569,Conyngham Road,8,46 P n D + 12 DP (Total),At Parkgate (Sarsfields) Motors,12/09/2000,€ 1.00,Conyngham Rd 731,Mon-Fri 10.00-16.00,TRUE,before10.00after16.00,,,TRUE,,Orange,Y,"<Point><coordinates>-6.299121,53.348137</coordinates></Point>","-6.299121,53.348137</coordinates></Point>","-6.299121,53.348137",-6.299121,53.348137
583,Cornmarket Street,8,7 P n D,MRCB,06/10/2000,€ 2.90,Oliver Bond St 383,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.275452,53.34334</coordinates></Point>","-6.275452,53.34334</coordinates></Point>","-6.275452,53.34334",-6.275452,53.34334
585,South Circular Road,8,10 P n D / DP (Total),At Number 599,,€ 1.00,Emmet Rd 109,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.306576,53.339248</coordinates></Point>","-6.306576,53.339248</coordinates></Point>","-6.306576,53.339248",-6.306576,53.339248
602,Anglesea Road,4,105 P n D / DP (Total),North of W'side Ailesbury Drive,03/03/2001,€ 2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.230835,53.321291</coordinates></Point>","-6.230835,53.321291</coordinates></Point>","-6.230835,53.321291",-6.230835,53.321291
616,Old Kilmainham,8,18 P n D / DP,At Number 31,06/03/2001,€ 1.00,Mount Brown 617,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.304533,53.340801</coordinates></Point>","-6.304533,53.340801</coordinates></Point>","-6.304533,53.340801",-6.304533,53.340801
617,Mount Brown,8,6 P n D + 33 DP (Total),At No 80,06/03/2001,€ 1.00,Old Kilmainham 616,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.302521,53.340799</coordinates></Point>","-6.302521,53.340799</coordinates></Point>","-6.302521,53.340799",-6.302521,53.340799
618,Mount Brown,8,6 P n D + 33 DP (Total),Between 25  n  26,06/03/2001,€ 1.00,Mount Brown 619,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.298682,53.341445</coordinates></Point>","-6.298682,53.341445</coordinates></Point>","-6.298682,53.341445",-6.298682,53.341445
622,James' Street,8,22 P n D + 9 DP (Total),At 176  n  Opposite entrance to St. James' Hospital,07/03/2001,€ 1.00,Mount Brown 619 (€1.00),Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.294669,53.342295</coordinates></Point>","-6.294669,53.342295</coordinates></Point>","-6.294669,53.342295",-6.294669,53.342295
624,Grand Canal Street Upper,4,56 P n D / DP,Opposite Number 26,07/03/2001,€ 2.90,Shelbourne Rd 654,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.235937,53.33773</coordinates></Point>","-6.235937,53.33773</coordinates></Point>","-6.235937,53.33773",-6.235937,53.33773
628,Barrow Street,4,85 P n D / DP (Total),Opposite Number 16,07/03/2001,€ 2.40,Barrow St 627,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.236245,53.341483</coordinates></Point>","-6.236245,53.341483</coordinates></Point>","-6.236245,53.341483",-6.236245,53.341483
637,South Lotts Road,4,63 P n D / DP (Total),At ESB,12/03/2001,€ 2.40,3 On South Lotts Rd,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.232524,53.339342</coordinates></Point>","-6.232524,53.339342</coordinates></Point>","-6.232524,53.339342",-6.232524,53.339342
641,Brunswick Street North,7,24 P n D / DP (Total),Opposite Kebry print,,€ 2.40,Brunswick St N 163,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.27968,53.350518</coordinates></Point>","-6.27968,53.350518</coordinates></Point>","-6.27968,53.350518",-6.27968,53.350518
645,South Circular Road,8,17 P n D / DP,Outside number 448,12/03/2001,€ 1.00,South Circular Rd 168,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.293018,53.33475</coordinates></Point>","-6.293018,53.33475</coordinates></Point>","-6.293018,53.33475",-6.293018,53.33475
655,Merrion Road,4,11 P n D / DP,At Number 180,05/04/2001,€ 1.60,Merrion View Ave 130,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.21188,53.318607</coordinates></Point>","-6.21188,53.318607</coordinates></Point>","-6.21188,53.318607",-6.21188,53.318607
659,Sydenham Road,4,25 P n D / DP,Opposite Merrion Hall,05/04/2001,€ 2.40,Serpentine Ave 391,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.225221,53.3277</coordinates></Point>","-6.225221,53.3277</coordinates></Point>","-6.225221,53.3277",-6.225221,53.3277
660,Richmond Avenue,6,39 P n D / DP,At Number 2,05/04/2001,€ 1.60,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,Disc parking,FALSE,,Green,Y,"<Point><coordinates>-6.243382,53.36345</coordinates></Point>","-6.243382,53.36345</coordinates></Point>","-6.243382,53.36345",-6.243382,53.36345
664,Shrewsbury Road,4,133 P n D / DP (Total),At Number 18,,€ 1.60,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.223241,53.32216</coordinates></Point>","-6.223241,53.32216</coordinates></Point>","-6.223241,53.32216",-6.223241,53.32216
675,Vernon Avenue,3,34 P n D + 20 DP,At Number 9,23/04/2001,€ 1.00,Clontarf Road 778,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.195895,53.359603</coordinates></Point>","-6.195895,53.359603</coordinates></Point>","-6.195895,53.359603",-6.195895,53.359603
680,Lansdowne Park,4,41 P n D / DP,At Number 45,30/04/2001,€ 2.90,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,Disc parking (8.30-18.00),FALSE,,Yellow,Y,"<Point><coordinates>-6.234668,53.333738</coordinates></Point>","-6.234668,53.333738</coordinates></Point>","-6.234668,53.333738",-6.234668,53.333738
682,Stirrup Lane,7,16 P n D / DP,Church Street To Beresford Street,,€ 2.90,Beresford St 261,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.273993,53.3499</coordinates></Point>","-6.273993,53.3499</coordinates></Point>","-6.273993,53.3499",-6.273993,53.3499
694,Chester Road,6,27 P n D / DP,At Mount Pleasant Avenue,,€ 2.40,Mountpleasant Sq 432,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.257832,53.325152</coordinates></Point>","-6.257832,53.325152</coordinates></Point>","-6.257832,53.325152",-6.257832,53.325152
700,New Row South,8,29 P n D / DP,Outside no.11,11/06/2001,€ 2.40,6 On Francis St,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.273785,53.338393</coordinates></Point>","-6.273785,53.338393</coordinates></Point>","-6.273785,53.338393",-6.273785,53.338393
704,Swords Road,9,5 P n D,At Iveragh Road Junction,19/06/2001,€ 1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.245639,53.3808</coordinates></Point>","-6.245639,53.3808</coordinates></Point>","-6.245639,53.3808",-6.245639,53.3808
707,Auburn Street,7,30 P n D / DP,At No. 13,19/06/2001,€ 2.40,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.271634,53.356387</coordinates></Point>","-6.271634,53.356387</coordinates></Point>","-6.271634,53.356387",-6.271634,53.356387
709,Bloomfield Avenue (Portobello),8,85 P n D / DP,Opposite Locks restaurant,25/06/2001,€ 2.40,Winsdor Tce 779,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.271515,53.329917</coordinates></Point>","-6.271515,53.329917</coordinates></Point>","-6.271515,53.329917",-6.271515,53.329917
712,St. Assam's Road West,5,8 P n D,Opposite BOI Car Park,25/06/2001,€ 0.60,Raheny Village 718,Mon-Fri 08.00-19.00,FALSE,,,,FALSE,,Blue,Y,"<Point><coordinates>-6.172027,53.380791</coordinates></Point>","-6.172027,53.380791</coordinates></Point>","-6.172027,53.380791",-6.172027,53.380791
714,Blackpitts,8,25 P n D / DP,Junction of Old Mill Court,06/07/2001,€ 2.40,Clanbrassil Tce 773,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.275121,53.335913</coordinates></Point>","-6.275121,53.335913</coordinates></Point>","-6.275121,53.335913",-6.275121,53.335913
719,Oliver Bond Street,8,76 P n D / DP (Total),Opposite Car Park,08/08/2001,€ 2.40,Bridgefoot St 801,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.280456,53.343914</coordinates></Point>","-6.280456,53.343914</coordinates></Point>","-6.280456,53.343914",-6.280456,53.343914
725,Gulistan Terrace,6,17 P n D / DP,Opposite No. 23,,€ 2.40,Mountpleasant Avenue Upper 882,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.260829,53.324921</coordinates></Point>","-6.260829,53.324921</coordinates></Point>","-6.260829,53.324921",-6.260829,53.324921
726,Harold's Cross Road,6,58 P n D / DP (Total),At Number 74,28/08/2001,€ 1.60,Harold's Cross Rd 727,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.278159,53.326535</coordinates></Point>","-6.278159,53.326535</coordinates></Point>","-6.278159,53.326535",-6.278159,53.326535
727,Harold's Cross Road,6,58 P n D / DP (Total),At the fork in the Road,28/09/2001,€ 1.60,Harold's Cross Rd 726,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.277891,53.326371</coordinates></Point>","-6.277891,53.326371</coordinates></Point>","-6.277891,53.326371",-6.277891,53.326371
729,Harold's Cross Road,6,58 P n D / DP (Total),Across from Century House,28/08/2001,€ 1.60,Tivoli Ave 793,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.27888,53.319756</coordinates></Point>","-6.27888,53.319756</coordinates></Point>","-6.27888,53.319756",-6.27888,53.319756
730,Sundrive Road,6,23 P n D,Kimmage opposite Superquinn,06/09/2001,€ 1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.291361,53.320071</coordinates></Point>","-6.291361,53.320071</coordinates></Point>","-6.291361,53.320071",-6.291361,53.320071
731,Conyngham Road,8,46 P n D + 12 DP (Total),At Riverpark Apartments,06/09/2001,€ 1.00,Conyngham Rd 569,Mon-Sat 08.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.302962,53.34821</coordinates></Point>","-6.302962,53.34821</coordinates></Point>","-6.302962,53.34821",-6.302962,53.34821
738,Leicester Avenue,6,78 P n D / DP,Opposite the Church,08/10/2001,€ 1.60,Frankfort Ave 161,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.270725,53.317335</coordinates></Point>","-6.270725,53.317335</coordinates></Point>","-6.270725,53.317335",-6.270725,53.317335
742,York Road,6,105 P n D / DP,At Number 51,,€ 1.60,Rathmines Rd Upr 53,Mon-Sat 07.00-24.00,TRUE,Before 10.00,,,FALSE,,Green,Y,"<Point><coordinates>-6.265153,53.318821</coordinates></Point>","-6.265153,53.318821</coordinates></Point>","-6.265153,53.318821",-6.265153,53.318821
755,Belmont Gardens,4,35 P n D / DP,South of E'side Belmont Avenue,,€ 2.40,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.242044,53.320049</coordinates></Point>","-6.242044,53.320049</coordinates></Point>","-6.242044,53.320049",-6.242044,53.320049
757,Foley Street,1,24 P n D,At Five-Lamps,,€ 2.40,6 On Amiens St,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.24921,53.352793</coordinates></Point>","-6.24921,53.352793</coordinates></Point>","-6.24921,53.352793",-6.24921,53.352793
769,Ailesbury Road,4,169 P n D / DP (Total),At Number 40A,,€ 1.60,Ailesbury Grove 795,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.222902,53.32001</coordinates></Point>","-6.222902,53.32001</coordinates></Point>","-6.222902,53.32001",-6.222902,53.32001
770,New Wapping Street,1,16 P n D / DP,At Number 2,,€ 2.40,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.235135,53.349015</coordinates></Point>","-6.235135,53.349015</coordinates></Point>","-6.235135,53.349015",-6.235135,53.349015
771,Sandymount Avenue,4,43 P n D / DP (Total),Opposite Embassy Court / Junction Of Spafield Terrace,,€ 1.60,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.223206,53.326874</coordinates></Point>","-6.223206,53.326874</coordinates></Point>","-6.223206,53.326874",-6.223206,53.326874
772,Observatory Lane,6,8 P n D,At Bike Shop,,€ 2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.26481,53.325653</coordinates></Point>","-6.26481,53.325653</coordinates></Point>","-6.26481,53.325653",-6.26481,53.325653
777,Clontarf Road,3,29 P n D / DP (Total),At Number 162,,€ 1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.20104,53.359962</coordinates></Point>","-6.20104,53.359962</coordinates></Point>","-6.20104,53.359962",-6.20104,53.359962
778,Clontarf Road,3,29 P n D / DP (Total),At Number 201,,€ 1.00,Vernon Avenue 675,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.195456,53.358781</coordinates></Point>","-6.195456,53.358781</coordinates></Point>","-6.195456,53.358781",-6.195456,53.358781
789,Mayfield Road East (Terenure),8,12 P n D / DP,Side of #18 Terenure Park,,€ 1.00,Eaton Square 891,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.285217,53.311427</coordinates></Point>","-6.285217,53.311427</coordinates></Point>","-6.285217,53.311427",-6.285217,53.311427
790,Cork Street,8,76 P n D / DP (Total),Opposite Coombe Hospital,,€ 1.60,Cork St 791,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.289849,53.335113</coordinates></Point>","-6.289849,53.335113</coordinates></Point>","-6.289849,53.335113",-6.289849,53.335113
791,Cork Street,8,76 P n D / DP (Total),At Morrisey's Pub,,€ 1.60,Cork St 790,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.287537,53.336874</coordinates></Point>","-6.287537,53.336874</coordinates></Point>","-6.287537,53.336874",-6.287537,53.336874
796,Temple Street West,8,9  P n D,Junction with Parkgate Street,22/04/2008,€ 1.00,Parkgate St 113,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.28989,53.348014</coordinates></Point>","-6.28989,53.348014</coordinates></Point>","-6.28989,53.348014",-6.28989,53.348014
798,Ranelagh Avenue,6,16 P n D / DP,At Number 8,15/03/2004,€ 2.40,Ranelagh Rd 431,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.254809,53.325499</coordinates></Point>","-6.254809,53.325499</coordinates></Point>","-6.254809,53.325499",-6.254809,53.325499
802,Bond Street,8,12 P n D / DP,Junction Of Robert Street South,,€ 1.60,Grand Canal Place 8,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.28644,53.340803</coordinates></Point>","-6.28644,53.340803</coordinates></Point>","-6.28644,53.340803",-6.28644,53.340803
805,Fitzwilliam Street (Ringsend),4,6 P n D / DP,Behind Library,,€ 0.60,Thorncastle St 806,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Blue,Y,"<Point><coordinates>-6.226569,53.341338</coordinates></Point>","-6.226569,53.341338</coordinates></Point>","-6.226569,53.341338",-6.226569,53.341338
806,Thorncastle Street,4,30 P n D / DP,Outside Shops,,€ 1.00,Fitzwilliam St 805,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.227714,53.34235</coordinates></Point>","-6.227714,53.34235</coordinates></Point>","-6.227714,53.34235",-6.227714,53.34235
808,Cork Street,8,76 P n D / DP (Total),Opposite Donnelly Centre,,€ 1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.281017,53.338383</coordinates></Point>","-6.281017,53.338383</coordinates></Point>","-6.281017,53.338383",-6.281017,53.338383
809,Blackhall Place,7,5 P n D / DP (Total),At Number 28,,€ 2.40,Blackhall Place 746,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.281749,53.34925</coordinates></Point>","-6.281749,53.34925</coordinates></Point>","-6.281749,53.34925",-6.281749,53.34925
810,Kilmore Road,5,14 P n D / DP,At Number 16,,€ 0.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Blue,Y,"<Point><coordinates>-6.211212,53.380684</coordinates></Point>","-6.211212,53.380684</coordinates></Point>","-6.211212,53.380684",-6.211212,53.380684
811,Kilmainham Lane,8,5 P n D / DP,Between 4  n  5,,€ 1.00,Inchicore Rd 754,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.306987,53.341779</coordinates></Point>","-6.306987,53.341779</coordinates></Point>","-6.306987,53.341779",-6.306987,53.341779
812,Cowper Road,6,46 P n D / DP,At Number 61,,€ 1.00,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.262057,53.315729</coordinates></Point>","-6.262057,53.315729</coordinates></Point>","-6.262057,53.315729",-6.262057,53.315729
813,Tower Avenue,6,13 P n D / DP,At Number 13,,€ 1.00,Brighton Road 735,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.279284,53.312551</coordinates></Point>","-6.279284,53.312551</coordinates></Point>","-6.279284,53.312551",-6.279284,53.312551
823,Greenfield Park,6,25 P n D,At No. 14,,€ 1.00,Nutley Park 794,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.224844,53.312736</coordinates></Point>","-6.224844,53.312736</coordinates></Point>","-6.224844,53.312736",-6.224844,53.312736
824,Armstrong Street,6,14 P n D / DP,At Number 1,,€ 1.60,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.275858,53.328904</coordinates></Point>","-6.275858,53.328904</coordinates></Point>","-6.275858,53.328904",-6.275858,53.328904
